P_G,Q_G,P_L,Q_L,r_line,x_line,P_line,Q_line,V
"[0.0527171292709605, 0.750341031963217]","[0.19385634297148832, -0.2576614960311784]",[0.17961338 0.47209715 0.37158679],[0.47466717 0.11444946 0.25162603],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.4033720902632467, 0.13730400684858068, -0.2660299719789527]","[0.11687526779041946, 0.3131060114133106, 0.19623805975448746]","[1.0, 0.9999203633901834, 0.9999045605078705]"
"[0.2727910274205813, 0.48027895453094976]","[0.0615031742135209, -0.8605304239671934]",[0.2973984  0.14806867 0.18833066],[0.13436903 0.42358369 0.37909359],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.06960980231474423, 0.013897026807399016, -0.0557220261371836]","[0.6547314517874838, 0.9473280382871963, 0.2925425574294511]","[1.0, 0.9998276179883129, 0.9997614374694561]"
"[0.39178585586584386, 0.3779744711708595]","[-0.4685105909741236, 0.26282044486578066]",[0.23246513 0.4407007  0.46322015],[0.45469622 0.35238822 0.26652376],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.3110673495832543, 0.32317477467699973, 0.012102789655284994]","[0.5486038086082772, 0.2761615213025834, -0.27239443938277363]","[1.0, 0.9998239656713979, 0.9998905638435756]"
"[0.4079446981727798, 0.7849036490899957]","[-0.30500512414706427, 0.4831192245674328]",[0.10570201 0.40411493 0.1583018 ],[0.34643313 0.31428419 0.37717889],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.03860762617182445, -0.16900266278071285, -0.20758061223015847]","[0.37758788818246103, 0.13583425020033246, -0.2417374455351769]","[1.0, 0.9999007777796256, 0.9999871685244132]"
"[0.15014408754279, 0.39612331226203795]","[-0.4741804343074485, 0.3938624923036677]",[0.31604769 0.26406382 0.46498749],[0.41234363 0.32189847 0.13586144],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.3489350823110726, 0.3339192725047724, -0.015024600788036493]","[0.44481080918785665, 0.09340793143519477, -0.3513479987176579]","[1.0, 0.9998451809127966, 0.9999349106861406]"
"[0.04735747523882626, 0.03670714225931831]","[-0.1603650187924712, -0.4945612990746331]",[0.23796159 0.45774151 0.49184637],[0.44464909 0.19802715 0.44059506],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.6754154564498549, 0.6903360112039536, 0.014936470892073238]","[0.5508476032541694, 0.7431573413350634, 0.1922655265957805]","[1.0, 0.9997778661680323, 0.9997279218393249]"
"[0.593710375763275, 0.5783178027713688]","[-0.4415512510074312, -0.20125513640909215]",[0.47563203 0.33934035 0.32190515],[0.45401493 0.26506271 0.2597101 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[-0.00500359968691555, -0.005692584400094347, -0.0006823785178565198]","[0.6248254762272154, 0.5429266994674435, -0.08188608954656185]","[1.0, 0.9998444222299293, 0.9998649822989889]"
"[0.292265622289366, 0.43593709506608924]","[-0.3783656196026302, 0.6775154387497451]",[0.14871207 0.3626206  0.14408963],[0.19510309 0.39447106 0.19353158],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.19964672673677342, 0.07890650583590286, -0.1207288978546875]","[0.35395680643750893, -0.06501256300225577, -0.41892115519726547]","[1.0, 0.9998865549736083, 1.0000063902154188]"
"[0.31507770434326, 0.7077235255608056]","[0.15877961821552922, -0.026988233043873835]",[0.15909489 0.34935066 0.25220552],[0.37311668 0.49492758 0.30975599],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.12103126076567605, -0.04224261143804142, -0.16325767393791216]","[0.33637917627402203, 0.33658038610519725, 0.00019926493571181337]","[1.0, 0.9999007763678397, 0.9999211366151397]"
"[0.13320720644907308, 0.3765540053760004]","[-0.17886718441721872, -0.38834805873002687]",[0.32518993 0.15525584 0.10712103],[0.22856306 0.11977217 0.41414267],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.17493106802817238, 0.07777144734745889, -0.09714861353665183]","[0.4666601839235227, 0.6346436133867428, 0.1679587399718535]","[1.0, 0.9998614686771067, 0.9998316194592985]"
"[0.30683277004613063, 0.18724833880287295]","[0.7542080389008741, -0.15614148320793858]",[0.44402718 0.43986608 0.38038172],[0.12479125 0.49894962 0.44496412],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.40310415198177907, 0.42312803980235003, 0.020050417937648973]","[0.03024737860641835, 0.3157308120325979, 0.2854649474808231]","[1.0, 0.9999420548406495, 0.9998681784911896]"
"[0.3340630161952608, 0.1258215211636859]","[0.5496046004204402, -0.35700779710401787]",[0.49129808 0.28318779 0.46410347],[0.45977438 0.46574423 0.13767969],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.3288701055105321, 0.45859606612657444, 0.12973032132219148]","[0.10903118180203819, 0.30191481138581366, 0.19286154506806366]","[1.0, 0.9999316357937212, 0.9998671997468289]"
